ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
316,548380,10,1,19/05/12,5,26,1,2,1,34,1,1,276
317,548381,8,2,20/05/12,5,7,2,1,1,9,1,8,94
318,548382,5,7,20/05/12,5,6,5,2,2,10,1,7,147
319,548383,6,1,22/05/12,5,26,1,2,1,18,1,1,31
320,548384,3,7,23/05/12,5,1,7,1,1,38,1,3,20
321,548385,6,3,25/05/12,5,8,6,1,1,86,1,3,185
322,548386,1,3,27/05/12,5,8,3,2,2,5,1,1,214
323,598003,1,6,03/04/13,6,5,1,1,2,6,1,1,315
324,598004,2,7,04/04/13,6,1,7,1,1,2,1,2,162
325,598005,11,10,05/04/13,6,7,10,1,1,22,1,11,136
326,598006,6,5,06/04/13,6,3,5,2,1,5,1,5,6
327,598007,3,7,06/04/13,6,8,7,2,1,9,1,7,221
328,598008,10,4,07/04/13,6,26,10,2,2,8,1,4,345
329,598009,11,2,07/04/13,6,7,2,2,4,,3,11,340
330,598010,5,1,08/04/13,6,6,1,1,1,19,1,5,39
331,598011,7,6,09/04/13,6,4,7,2,1,44,1,7,88
332,598012,4,3,10/04/13,6,2,3,1,2,10,1,3,19
333,598013,2,1,11/04/13,6,1,2,1,2,8,1,2,162
334,598014,10,5,11/04/13,6,26,5,2,2,7,1,10,254
335,598015,6,11,12/04/13,6,3,6,2,2,3,1,11,136
336,598016,7,10,13/04/13,6,4,7,2,1,41,1,7,57
337,598017,3,2,13/04/13,6,8,3,1,2,4,1,3,35
338,598018,1,11,14/04/13,6,5,1,2,1,48,1,1,40
339,598019,5,4,14/04/13,6,6,5,1,2,6,1,5,310
340,598020,3,10,15/04/13,6,8,10,2,1,24,1,10,306
341,598021,4,1,16/04/13,6,2,1,1,1,4,1,4,120
342,598022,2,6,16/04/13,6,1,2,1,4,,3,2,8
343,598023,10,11,17/04/13,6,26,10,1,1,11,1,11,136
344,598024,5,7,17/04/13,6,6,5,2,1,87,1,5,85
345,598025,6,3,18/04/13,6,3,3,2,1,86,1,3,19
346,598026,11,4,19/04/13,6,7,4,2,2,5,1,11,340
347,598027,1,3,20/04/13,6,5,1,2,2,4,1,3,35
348,598028,2,5,20/04/13,6,1,2,1,2,7,1,2,81
349,598029,6,7,21/04/13,6,3,7,2,2,9,1,6,41
350,598030,4,10,21/04/13,6,2,4,1,2,7,1,4,320
351,598031,3,5,22/04/13,6,8,5,2,2,5,1,3,19
